Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
36.18,62.9961405,46.04149884,,36.18,55.75040616,40.74586539,,7.245734338,5.295633454,,8.974653184,0.939656327
36.36,62.85125987,46.23907942,,36.36,55.28091596,40.66964877,,7.570343914,5.569430656,,9.398333086,0.936516327
36.54,62.70575956,46.4362041,,36.54,55.15294095,40.84303006,,7.55281861,5.59317404,,9.398333086,0.933376327
36.72,60.91274877,45.40525341,,36.72,54.68654027,40.76414658,,6.226208496,4.641106833,,7.765664484,0.930236327
36.9,60.76987622,45.59629529,,36.9,54.55827147,40.93566107,,6.211604751,4.660634216,,7.765664484,0.927096327
37.08,60.29111483,45.53366673,,37.08,53.46349296,40.37724096,,6.827621867,5.156425778,,8.556000653,0.923956327
37.26,59.81501053,45.46974652,,37.26,53.33644507,40.544917,,6.478565467,4.924829519,,8.137920883,0.920816327
37.44,59.67194089,45.65734118,,37.44,53.2088713,40.71219328,,6.463069589,4.945147903,,8.137920883,0.917676327
37.62,59.5282829,45.84448569,,37.62,52.43431703,40.38121342,,7.093965872,5.463272264,,8.953864843,0.914536327
37.8,59.38403799,46.03117819,,37.8,52.30726174,40.54565784,,7.076776254,5.485520348,,8.953864843,0.911396327
37.98,57.96988863,45.2271159,,37.98,52.17969072,40.70970249,,5.790197913,4.517413407,,7.343937348,0.908256327
38.16,57.82758994,45.40891809,,38.16,52.05160523,40.87334576,,5.775984714,4.535572328,,7.343937348,0.905116327
38.34,57.68472109,45.59027256,,38.34,51.59199931,40.77497934,,6.09272178,4.815293224,,7.765842357,0.901976327
38.52,56.90264948,45.26317652,,38.52,51.15534648,40.69148798,,5.747303009,4.571688541,,7.343829246,0.898836327
38.7,56.76024283,45.4416274,,38.7,51.02732323,40.8519149,,5.732919597,4.589712505,,7.343829246,0.895696327
38.88,55.98185344,45.10763518,,38.88,50.26346101,40.50001425,,5.718392435,4.607620933,,7.343717227,0.892556327
39.06,55.51307602,45.01812662,,39.06,49.83230159,40.41132331,,5.680774427,4.606803312,,7.313947966,0.889416327
39.24,55.37144567,45.19221546,,39.24,49.40438941,40.3221152,,5.967056259,4.870100263,,7.702183909,0.886276327
39.42,55.22926937,45.36585873,,39.42,48.94723758,40.20573674,,6.282031797,5.160121983,,8.129623753,0.883136327
39.6,54.78196664,45.28726235,,39.6,48.52172679,40.11203513,,6.260239852,5.175227212,,8.122412185,0.879996327
39.78,54.31587646,45.18980967,,39.78,48.395536,40.26419536,,5.920340453,4.925614308,,7.701435411,0.876856327
39.96,54.17371292,45.36013847,,39.96,48.26886806,40.4159586,,5.904844863,4.944179864,,7.701435411,0.873716327
40.14,53.72893627,45.27546878,,40.14,48.1417242,40.56732336,,5.587212071,4.708145429,,7.306406238,0.870576327
40.32,53.26532768,45.17157883,,40.32,47.68792326,40.44166963,,5.577404423,4.729909202,,7.312966646,0.867436327
40.5,53.12322657,45.338609,,40.5,47.2658022,40.33952498,,5.857424364,4.999084019,,7.700666283,0.864296327
40.68,52.66284412,45.23226926,,40.68,47.13890329,40.48774049,,5.523940832,4.74452877,,7.281790684,0.861156327
